name,description,category,price,sale_price,discount,unit,image,bar_code,quantity,min_quantity
Product 253,Description for Product 253,Health,76.51,447.39,21,шт,https://example.com/images/product253.jpg,1234567890253,5,6
Product 254,Description for Product 254,Beauty,494.8,354.41,38,кг,https://example.com/images/product254.jpg,1234567890254,83,5
Product 255,Description for Product 255,Sports,213.12,129.69,42,шт,https://example.com/images/product255.jpg,1234567890255,90,3
Product 256,Description for Product 256,Fashion,151.01,393.83,15,кг,https://example.com/images/product256.jpg,1234567890256,21,7
Product 257,Description for Product 257,Automotive,435.5,439.46,40,кг,https://example.com/images/product257.jpg,1234567890257,33,1
Product 258,Description for Product 258,Toys,30.95,338.96,8,кг,https://example.com/images/product258.jpg,1234567890258,35,10
Product 259,Description for Product 259,Beauty,113.36,46.3,50,шт,https://example.com/images/product259.jpg,1234567890259,6,5
Product 260,Description for Product 260,Automotive,46.97,362.83,18,кг,https://example.com/images/product260.jpg,1234567890260,89,8
Product 261,Description for Product 261,Toys,395.13,397.98,15,шт,https://example.com/images/product261.jpg,1234567890261,38,1
Product 262,Description for Product 262,Fashion,268.45,163.69,36,шт,https://example.com/images/product262.jpg,1234567890262,85,10
Product 263,Description for Product 263,Electronics,257.06,433.17,23,кг,https://example.com/images/product263.jpg,1234567890263,53,3
Product 264,Description for Product 264,Electronics,441.05,422.86,30,кг,https://example.com/images/product264.jpg,1234567890264,43,8
Product 265,Description for Product 265,Electronics,301.14,420.64,32,кг,https://example.com/images/product265.jpg,1234567890265,55,3
Product 266,Description for Product 266,Health,469.28,205.28,33,шт,https://example.com/images/product266.jpg,1234567890266,30,6
Product 267,Description for Product 267,Automotive,64.72,183.9,19,шт,https://example.com/images/product267.jpg,1234567890267,52,5
Product 268,Description for Product 268,Home,401.24,237.25,41,шт,https://example.com/images/product268.jpg,1234567890268,64,10
Product 269,Description for Product 269,Health,262.47,80.08,45,кг,https://example.com/images/product269.jpg,1234567890269,34,1
Product 270,Description for Product 270,Home,289.63,284.47,20,шт,https://example.com/images/product270.jpg,1234567890270,87,7
Product 271,Description for Product 271,Sports,146.15,43.86,26,шт,https://example.com/images/product271.jpg,1234567890271,22,10
Product 272,Description for Product 272,Toys,162.29,352.31,36,кг,https://example.com/images/product272.jpg,1234567890272,57,1
Product 273,Description for Product 273,Beauty,36.56,61.46,18,шт,https://example.com/images/product273.jpg,1234567890273,85,2
Product 274,Description for Product 274,Toys,474.24,154.14,46,кг,https://example.com/images/product274.jpg,1234567890274,21,7
Product 275,Description for Product 275,Grocery,362.43,337.82,33,кг,https://example.com/images/product275.jpg,1234567890275,43,6
Product 276,Description for Product 276,Books,316.57,315.35,44,кг,https://example.com/images/product276.jpg,1234567890276,18,3
Product 277,Description for Product 277,Electronics,377.0,139.27,44,кг,https://example.com/images/product277.jpg,1234567890277,77,6
Product 278,Description for Product 278,Grocery,201.53,323.0,26,шт,https://example.com/images/product278.jpg,1234567890278,35,1
Product 279,Description for Product 279,Toys,258.41,333.73,11,кг,https://example.com/images/product279.jpg,1234567890279,27,2
Product 280,Description for Product 280,Toys,388.31,437.57,9,кг,https://example.com/images/product280.jpg,1234567890280,88,5
Product 281,Description for Product 281,Health,252.31,260.02,31,шт,https://example.com/images/product281.jpg,1234567890281,14,9
Product 282,Description for Product 282,Home,121.87,243.43,28,кг,https://example.com/images/product282.jpg,1234567890282,54,7
Product 283,Description for Product 283,Electronics,423.59,405.92,47,шт,https://example.com/images/product283.jpg,1234567890283,31,3
Product 284,Description for Product 284,Fashion,302.17,444.08,13,кг,https://example.com/images/product284.jpg,1234567890284,24,10
Product 285,Description for Product 285,Automotive,79.73,260.47,49,шт,https://example.com/images/product285.jpg,1234567890285,13,4
Product 286,Description for Product 286,Electronics,468.73,139.99,24,шт,https://example.com/images/product286.jpg,1234567890286,30,7
Product 287,Description for Product 287,Toys,454.86,382.72,38,кг,https://example.com/images/product287.jpg,1234567890287,91,10
Product 288,Description for Product 288,Beauty,167.19,14.59,6,шт,https://example.com/images/product288.jpg,1234567890288,20,2
Product 289,Description for Product 289,Automotive,229.69,41.97,6,кг,https://example.com/images/product289.jpg,1234567890289,63,6
Product 290,Description for Product 290,Toys,146.34,65.51,23,кг,https://example.com/images/product290.jpg,1234567890290,17,7
Product 291,Description for Product 291,Sports,37.66,206.06,40,кг,https://example.com/images/product291.jpg,1234567890291,79,2
Product 292,Description for Product 292,Beauty,407.58,178.31,22,кг,https://example.com/images/product292.jpg,1234567890292,37,6
Product 293,Description for Product 293,Health,111.32,153.15,41,шт,https://example.com/images/product293.jpg,1234567890293,68,2
Product 294,Description for Product 294,Books,191.38,424.1,48,шт,https://example.com/images/product294.jpg,1234567890294,44,1
Product 295,Description for Product 295,Electronics,286.72,318.13,40,кг,https://example.com/images/product295.jpg,1234567890295,27,7
Product 296,Description for Product 296,Home,330.47,237.46,16,кг,https://example.com/images/product296.jpg,1234567890296,73,6
Product 297,Description for Product 297,Home,113.72,224.66,17,кг,https://example.com/images/product297.jpg,1234567890297,73,7
Product 298,Description for Product 298,Toys,166.17,382.36,41,шт,https://example.com/images/product298.jpg,1234567890298,47,4
Product 299,Description for Product 299,Books,37.92,51.85,27,шт,https://example.com/images/product299.jpg,1234567890299,98,10
Product 300,Description for Product 300,Toys,186.94,424.77,34,шт,https://example.com/images/product300.jpg,1234567890300,97,3
